A.
Rusztowanie aluminiowe wys. 5m	28
B.
1750
C.
Imie	Nazwisko	Wyr1
Adam	Wozniak	5
Adam	Adamski	4
Adam	Borkowski	3
Adam	Misztal	3
Adrian	Bielak	3
Adrian	Jaromin	3
Agata	Kantor	3
Agnieszka	Krystyniak	3
Aleksander	Banachowicz	3
Aleksander	Bokowski	3
Andrzej	Rydawski	6
Andrzej	Bartoszek	3
Andrzej	Dabrowski	3
Antoni	Knapik	3
Antoni	Tutaj	3
Artur	Antoniak	3
Boleslaw	Rybak	3
Damian	Styczen	3
Daniel	Kalicki	3
Faustyna	Kusek	3
Feliks	Baran	3
Franciszek	Maciejewski	3
Franciszek	Chorzyk	3
Gorzegorz	Lipinski	3
Grzegorz	Michalski	3
Hubert	Klimka	3
Ireneusz	Szymanski	3
Izabela	Kusz	4
Jacek	Konczak	3
Jakub	Kowalski	4
Jakub	Wina	3
Jan	Podsiadly	4
Jan	Kucharski	3
Jan	Bebenek	3
Jan	Wieczorek	3
Jerzy	Tuszynski	3
Jerzy	Wojciechowski	3
Judyta	Kulasek	3
Kacper	Baranowski	3
Karol	Bartoszewicz	3
Karol	Lubaszka	3
Karol	Tomaszewski	3
Krzysztof	Holski	3
Krzysztof	Rutkowski	3
Krzysztof	Adamiec	3
Leszek	Aron	3
Leszek	Wrzesien	3
Maciej	Bugaj	3
Maciej	Bujak	3
Maciej	Tomalak	3
Marcin	Budzisz	4
Marcin	Kucharski	4
Marcin	Wozniak	3
Marcin	Beryl	3
Marcin	Kowalska	3
Marek	Bielawski	3
Mateusz	Symanski	3
Michal	Adamczyk	4
Mikolaj	Celejewski	3
Mikolaj	Malinowski	3
Miloslaw	Sobczak	3
Natalia	Jochem	3
Nikoletta	Jugowiec	3
Oskar	Wisniewski	3
Patrycja	Czubala	3
Patryk	Dobrosielski	3
Paulina	Camillo	3
Paulina	Faron	3
Pawel	Dubala	3
Pawel	Szczepanski	3
Piotr	Benedykt	3
Piotr	Boruta	3
Rafal	Pawlak	3
Roman	Wieczorek	3
Roman	Zmelty	3
Sergiusz	Pawlak	3
Szymon	Kos	3
Tomasz	Krakowski	3
Tomasz	Krol	3
Tomasz	Sokolowski	3
Tymon	Borkowski	3
Weronika	Sareta	3
Witold	Pawlowski	3
Wojciech	Dudek	5
Wojciech	Kwiatkowski	3
Wojciech	Mroczek	3
Zbigniew	Nowak	3
Zenon	Beki	3
Zygmunt	Knot	3
Zygmunt	Borkowski	3
D.
68
E.
Wyr2	Wyr1	Wyr3
1	43307	850
2	35441	900
3	46181	1200
4	54162	1300
5	81019	1950
6	95315	1600
7	111173	2450
8	96436	2600
9	101491	1800
10	66041	850
11	47754	700
12	36435	900
